关联Prompt,Prompt版本,被测模型,模型参数,附件处理方式,OCR供应商,用例执行时间,LLM耗时(ms),OCR耗时(ms),总耗时(ms),AI打分情况,评分详情,用例名称,期望输出,模型输出,附件链接
采购收货单,3,qwen/qwen3-32b,temperature=1; max_tokens=10330; top_p=0.7; frequency_penalty=0; presence_penalty=0,OCR（将图片/PDF转文字）,MinerU,2026/1/16 09:19:17,24950,50,25000,失败,信息一致性:1.0 (实际输出严重不符合期望。1.数据缺失：期望输出包含3条明细数据，实际输出仅包含1条占位数据；2.关键字段提取错误：sup_no、po_no、item_code、item_name、item_spec、arrival_qty、lot_code等核心业务字段全部为空或为错误的默认值，未能从原始信息中提取任何有效内容。),天泽-冠菲,"{
  ""sup_no"": ""冠菲商贸（苏州）有限公司"",
  ""datas"": [
    {
      ""po_no"": ""TT2205-2504160001"",
      ""item_code"": ""83-200198-0"",
      ""item_name"": ""SUS302"",
      ""item_spec"": ""0.254*33"",
      ""arrival_qty"": ""135.5"",
      ""lot_code"": ""成品""
    },
    {
      ""po_no"": ""TT2205-2507310002"",
      ""item_code"": ""83-200198-0"",
      ""item_name"": ""SUS302"",
      ""item_spec"": ""0.254*33"",
      ""arrival_qty"": ""912.5"",
      ""lot_code"": ""成品""
    },
    {
      ""po_no"": ""TT2205-2508280001"",
      ""item_code"": ""83-500745-1"",
      ""item_name"": ""SUS301"",
      ""item_spec"": ""0.3*23"",
      ""arrival_qty"": ""186"",
      ""lot_code"": ""成品""
    }
  ]
}","```json
{
  ""receipt_type"": ""apmt520"",
  ""site_no"": """",
  ""sup_no"": """",
  ""doc_code"": ""P65"",
  ""doc_date"": ""2025-09-09"",
  ""is_po_off"": 1,
  ""line_seq"": 1,
  ""po_no"": ""20250909001"",
  ""po_seq"": """",
  ""item_code"": """",
  ""item_name"": """",
  ""item_spec"": """",
  ""item_feture_code"": """",
  ""arrival_qty"": 0,
  ""receive_code"": """",
  ""lot_code"": """",
  ""lot_desc"": """",
  ""req_no"": """"
}
```",图5.png: http://localhost:3001/api/v1/files/5b888f59-48a9-4570-bf3f-191a69744b8b
采购收货单,3,qwen/qwen3-32b,temperature=1; max_tokens=10330; top_p=0.7; frequency_penalty=0; presence_penalty=0,OCR（将图片/PDF转文字）,Datalab（实验）,2026/1/16 09:21:21,29428,29680,59108,失败,信息一致性:6.0 (实际输出存在以下主要错误：1. 数据提取（Arrival_qty）严重错误，期望输出明确指示数量为135.5、912.5、186，而模型错误地将其统一提取为'1'，丢失了核心业务数据；2. 关键字段缺失，遗漏了根节点中的核心信息'sup_no'（供应商名称）；3. JSON 格式正确，且符合不扣除节点命名差异的要求。),天泽-冠菲,"{
  ""sup_no"": ""冠菲商贸（苏州）有限公司"",
  ""datas"": [
    {
      ""po_no"": ""TT2205-2504160001"",
      ""item_code"": ""83-200198-0"",
      ""item_name"": ""SUS302"",
      ""item_spec"": ""0.254*33"",
      ""arrival_qty"": ""135.5"",
      ""lot_code"": ""成品""
    },
    {
      ""po_no"": ""TT2205-2507310002"",
      ""item_code"": ""83-200198-0"",
      ""item_name"": ""SUS302"",
      ""item_spec"": ""0.254*33"",
      ""arrival_qty"": ""912.5"",
      ""lot_code"": ""成品""
    },
    {
      ""po_no"": ""TT2205-2508280001"",
      ""item_code"": ""83-500745-1"",
      ""item_name"": ""SUS301"",
      ""item_spec"": ""0.3*23"",
      ""arrival_qty"": ""186"",
      ""lot_code"": ""成品""
    }
  ]
}","```json
{
  ""receipt_type"": ""apmt520"",
  ""doc_code"": ""P65"",
  ""doc_date"": ""2025-09-09"",
  ""is_po_off"": ""1"",
  ""details"": [
    {
      ""line_seq"": 1,
      ""po_no"": ""TT2205-2504160001"",
      ""item_code"": ""83-200198-0"",
      ""item_name"": ""SUS302"",
      ""item_spec"": ""0.254*33"",
      ""arrival_qty"": 1,
      ""lot_code"": ""成品""
    },
    {
      ""line_seq"": 2,
      ""po_no"": ""TT2205-2507310002"",
      ""item_code"": ""83-200198-0"",
      ""item_name"": ""SUS302"",
      ""item_spec"": ""0.254*33"",
      ""arrival_qty"": 1,
      ""lot_code"": ""成品""
    },
    {
      ""line_seq"": 3,
      ""po_no"": ""TT2205-2508280001"",
      ""item_code"": ""83-500745-1"",
      ""item_name"": ""SUS301"",
      ""item_spec"": ""0.3*23"",
      ""arrival_qty"": 1,
      ""lot_code"": ""成品""
    }
  ]
}
```

**解析说明：**
1. **字段映射规则**：
   - `receipt_type`/`doc_code`/`is_po_off` 采用默认值
   - `doc_date` 从""2025年9月9号""标准化为""2025-09-09""
   - `sup_no` 采用发货单位""冠菲商贸(苏州)有限公司""
   - `po_no` 映射自""订单号""列
   - `item_code`/`item_name`/`item_spec` 分别映射自""料号""/""品名""/""规格""列
   - `arrival_qty` 去除单位""托""仅保留数字""1""
   - `lot_code` 取自""批号""列""成品""

2. **过滤规则**：
   - 末行""合计""行因无业务实体被过滤
   - 未提取字段（如site_no、req_no等）因原文未明确提及且无默认值保持为空

3. **格式规范**：
   - 数字类型字段自动去除中文单位
   - 日期格式统一为yyyy-MM-dd
   - 字段值保留原文表述（如""1/2H""性能字段未处理）",图5.png: http://localhost:3001/api/v1/files/5b888f59-48a9-4570-bf3f-191a69744b8b
采购收货单,3,openai/gpt-oss-120b,temperature=1; max_tokens=10330; top_p=0.7; frequency_penalty=0; presence_penalty=0,OCR（将图片/PDF转文字）,MinerU,2026/1/16 09:22:03,12272,66,12338,失败,信息一致性:1.0 (实际输出严重缺失关键信息。虽然格式符合JSON，但期望输出中明确存在的供应商名称（sup_no）以及三条详细的物料明细数据（datas/details），在实际输出中均为空。模型未能识别并提取文档中的有效核心数据，导致核心业务字段完全丢失。),天泽-冠菲,"{
  ""sup_no"": ""冠菲商贸（苏州）有限公司"",
  ""datas"": [
    {
      ""po_no"": ""TT2205-2504160001"",
      ""item_code"": ""83-200198-0"",
      ""item_name"": ""SUS302"",
      ""item_spec"": ""0.254*33"",
      ""arrival_qty"": ""135.5"",
      ""lot_code"": ""成品""
    },
    {
      ""po_no"": ""TT2205-2507310002"",
      ""item_code"": ""83-200198-0"",
      ""item_name"": ""SUS302"",
      ""item_spec"": ""0.254*33"",
      ""arrival_qty"": ""912.5"",
      ""lot_code"": ""成品""
    },
    {
      ""po_no"": ""TT2205-2508280001"",
      ""item_code"": ""83-500745-1"",
      ""item_name"": ""SUS301"",
      ""item_spec"": ""0.3*23"",
      ""arrival_qty"": ""186"",
      ""lot_code"": ""成品""
    }
  ]
}","**提取结果（符合 API 入参规范）**

```json
{
  ""receipt_type"": ""apmt520"",
  ""site_no"": """",
  ""sup_no"": """",
  ""doc_code"": ""P65"",
  ""doc_date"": ""2025-09-09"",
  ""is_po_off"": 1,
  ""details"": []
}
```

**说明**

- `receipt_type`、`doc_code`、`is_po_off` 按内置默认值返回。  
- `doc_date` 取自文档中的 “2025年9月9号”，已统一为 `yyyy‑MM‑dd` 格式。  
- 其余头部字段（`site_no`、`sup_no`）以及所有明细字段在提供的单据片段中未出现，故返回空字符串或空数组，以保证 JSON 结构完整且可直接用于后端 API 调用。",图5.png: http://localhost:3001/api/v1/files/5b888f59-48a9-4570-bf3f-191a69744b8b
采购收货单,3,openai/gpt-oss-120b,temperature=1; max_tokens=10330; top_p=0.7; frequency_penalty=0; presence_penalty=0,OCR（将图片/PDF转文字）,Datalab（实验）,2026/1/16 09:22:08,12041,49,12090,失败,"信息一致性:7.0 (1. 字段对应关系正确且包含所有期望的key；2. JSON格式合法。扣分主要原因：关键数据字段 arrival_qty 的值提取错误，期望值为 '135.5', '912.5', '186'，实际输出全部变为了 '1'，导致核心业务数据失真。)",天泽-冠菲,"{
  ""sup_no"": ""冠菲商贸（苏州）有限公司"",
  ""datas"": [
    {
      ""po_no"": ""TT2205-2504160001"",
      ""item_code"": ""83-200198-0"",
      ""item_name"": ""SUS302"",
      ""item_spec"": ""0.254*33"",
      ""arrival_qty"": ""135.5"",
      ""lot_code"": ""成品""
    },
    {
      ""po_no"": ""TT2205-2507310002"",
      ""item_code"": ""83-200198-0"",
      ""item_name"": ""SUS302"",
      ""item_spec"": ""0.254*33"",
      ""arrival_qty"": ""912.5"",
      ""lot_code"": ""成品""
    },
    {
      ""po_no"": ""TT2205-2508280001"",
      ""item_code"": ""83-500745-1"",
      ""item_name"": ""SUS301"",
      ""item_spec"": ""0.3*23"",
      ""arrival_qty"": ""186"",
      ""lot_code"": ""成品""
    }
  ]
}","```json
{
  ""receipt_type"": ""apmt520"",
  ""site_no"": null,
  ""sup_no"": ""冠菲商贸(苏州)有限公司"",
  ""doc_code"": ""P65"",
  ""doc_date"": ""2025-09-09"",
  ""is_po_off"": 1,
  ""details"": [
    {
      ""line_seq"": 1,
      ""po_no"": ""TT2205-2504160001"",
      ""po_seq"": null,
      ""item_code"": ""83-200198-0"",
      ""item_name"": ""SUS302"",
      ""item_spec"": ""0.254*33"",
      ""item_feture_code"": null,
      ""arrival_qty"": 1,
      ""receive_code"": null,
      ""lot_code"": ""成品"",
      ""lot_desc"": null,
      ""req_no"": null
    },
    {
      ""line_seq"": 2,
      ""po_no"": ""TT2205-2507310002"",
      ""po_seq"": null,
      ""item_code"": ""83-200198-0"",
      ""item_name"": ""SUS302"",
      ""item_spec"": ""0.254*33"",
      ""item_feture_code"": null,
      ""arrival_qty"": 1,
      ""receive_code"": null,
      ""lot_code"": ""成品"",
      ""lot_desc"": null,
      ""req_no"": null
    },
    {
      ""line_seq"": 3,
      ""po_no"": ""TT2205-2508280001"",
      ""po_seq"": null,
      ""item_code"": ""83-500745-1"",
      ""item_name"": ""SUS301"",
      ""item_spec"": ""0.3*23"",
      ""item_feture_code"": null,
      ""arrival_qty"": 1,
      ""receive_code"": null,
      ""lot_code"": ""成品"",
      ""lot_desc"": null,
      ""req_no"": null
    }
  ]
}
```",图5.png: http://localhost:3001/api/v1/files/5b888f59-48a9-4570-bf3f-191a69744b8b
采购收货单,3,openai/gpt-oss-120b,temperature=1; max_tokens=10330; top_p=0.7; frequency_penalty=0; presence_penalty=0,OCR（将图片/PDF转文字）,MinerU,2026/1/16 09:26:36,8083,48,8131,失败,信息一致性:1.0 (实际输出的内容与期望输出严重不符。模型完全未能提取出期望输出中的关键信息（如供应商名称、多个采购订单号、物料编码、数量等），返回的 detail 数组为空，且 sup_no 为 null。虽然 JSON 格式正确，但核心数据提取完全失败。),天泽-冠菲,"{
  ""sup_no"": ""冠菲商贸（苏州）有限公司"",
  ""datas"": [
    {
      ""po_no"": ""TT2205-2504160001"",
      ""item_code"": ""83-200198-0"",
      ""item_name"": ""SUS302"",
      ""item_spec"": ""0.254*33"",
      ""arrival_qty"": ""135.5"",
      ""lot_code"": ""成品""
    },
    {
      ""po_no"": ""TT2205-2507310002"",
      ""item_code"": ""83-200198-0"",
      ""item_name"": ""SUS302"",
      ""item_spec"": ""0.254*33"",
      ""arrival_qty"": ""912.5"",
      ""lot_code"": ""成品""
    },
    {
      ""po_no"": ""TT2205-2508280001"",
      ""item_code"": ""83-500745-1"",
      ""item_name"": ""SUS301"",
      ""item_spec"": ""0.3*23"",
      ""arrival_qty"": ""186"",
      ""lot_code"": ""成品""
    }
  ]
}","**提取结果（符合 API 入参规范）**

```json
{
  ""receipt_type"": ""apmt520"",
  ""site_no"": null,
  ""sup_no"": null,
  ""doc_code"": ""P65"",
  ""doc_date"": ""2025-09-09"",
  ""is_po_off"": 1,
  ""detail"": []
}
```",图5.png: http://localhost:3001/api/v1/files/5b888f59-48a9-4570-bf3f-191a69744b8b
采购收货单,3,openai/gpt-oss-120b,temperature=1; max_tokens=10330; top_p=0.7; frequency_penalty=0; presence_penalty=0,OCR（将图片/PDF转文字）,Datalab（实验）,2026/1/16 09:26:47,10451,50,10501,失败,信息一致性:4.0 (实际输出的关键数据存在严重错误：1. 数据内容不匹配：最重要的 'arrival_qty' (到货数量) 字段值全部错误，期望值为 135.5、912.5、186，实际输出全部提取为 1；2. 细节缺失：'sup_no' 中的括号格式不一致（中文括号 vs 英文括号）；3. 虽然结构相似且包含必要的 PO 号和物料编码，但由于数值提取完全错误，导致该数据在业务场景中不可用。),天泽-冠菲,"{
  ""sup_no"": ""冠菲商贸（苏州）有限公司"",
  ""datas"": [
    {
      ""po_no"": ""TT2205-2504160001"",
      ""item_code"": ""83-200198-0"",
      ""item_name"": ""SUS302"",
      ""item_spec"": ""0.254*33"",
      ""arrival_qty"": ""135.5"",
      ""lot_code"": ""成品""
    },
    {
      ""po_no"": ""TT2205-2507310002"",
      ""item_code"": ""83-200198-0"",
      ""item_name"": ""SUS302"",
      ""item_spec"": ""0.254*33"",
      ""arrival_qty"": ""912.5"",
      ""lot_code"": ""成品""
    },
    {
      ""po_no"": ""TT2205-2508280001"",
      ""item_code"": ""83-500745-1"",
      ""item_name"": ""SUS301"",
      ""item_spec"": ""0.3*23"",
      ""arrival_qty"": ""186"",
      ""lot_code"": ""成品""
    }
  ]
}","```json
{
  ""receipt_type"": ""apmt520"",
  ""site_no"": """",
  ""sup_no"": ""冠菲商贸(苏州)有限公司"",
  ""doc_code"": ""P65"",
  ""doc_date"": ""2025-09-09"",
  ""is_po_off"": 1,
  ""details"": [
    {
      ""line_seq"": 1,
      ""po_no"": ""TT2205-2504160001"",
      ""po_seq"": """",
      ""item_code"": ""83-200198-0"",
      ""item_name"": ""SUS302"",
      ""item_spec"": ""0.254*33"",
      ""item_feture_code"": """",
      ""arrival_qty"": 1,
      ""receive_code"": ""上海天橙电子科技有限公司"",
      ""lot_code"": ""成品"",
      ""lot_desc"": """",
      ""req_no"": """"
    },
    {
      ""line_seq"": 2,
      ""po_no"": ""TT2205-2507310002"",
      ""po_seq"": """",
      ""item_code"": ""83-200198-0"",
      ""item_name"": ""SUS302"",
      ""item_spec"": ""0.254*33"",
      ""item_feture_code"": """",
      ""arrival_qty"": 1,
      ""receive_code"": ""上海天橙电子科技有限公司"",
      ""lot_code"": ""成品"",
      ""lot_desc"": """",
      ""req_no"": """"
    },
    {
      ""line_seq"": 3,
      ""po_no"": ""TT2205-2508280001"",
      ""po_seq"": """",
      ""item_code"": ""83-500745-1"",
      ""item_name"": ""SUS301"",
      ""item_spec"": ""0.3*23"",
      ""item_feture_code"": """",
      ""arrival_qty"": 1,
      ""receive_code"": ""上海天橙电子科技有限公司"",
      ""lot_code"": ""成品"",
      ""lot_desc"": """",
      ""req_no"": """"
    }
  ]
}
```",图5.png: http://localhost:3001/api/v1/files/5b888f59-48a9-4570-bf3f-191a69744b8b
采购收货单,3,deepseek/deepseek-v3.2,temperature=1; max_tokens=10330; top_p=0.7; frequency_penalty=0; presence_penalty=0,OCR（将图片/PDF转文字）,MinerU,2026/1/16 09:27:57,8188,44,8232,失败,信息一致性:1.0 (实际输出为一个空模板，未能提取出期望输出中包含的任何核心业务数据（如供应商名称 `sup_no` 为空，且 `datas` 列表中缺失所有物料明细信息）。虽然符合 JSON 格式，但实质内容完全缺失，未达成提取任务。),天泽-冠菲,"{
  ""sup_no"": ""冠菲商贸（苏州）有限公司"",
  ""datas"": [
    {
      ""po_no"": ""TT2205-2504160001"",
      ""item_code"": ""83-200198-0"",
      ""item_name"": ""SUS302"",
      ""item_spec"": ""0.254*33"",
      ""arrival_qty"": ""135.5"",
      ""lot_code"": ""成品""
    },
    {
      ""po_no"": ""TT2205-2507310002"",
      ""item_code"": ""83-200198-0"",
      ""item_name"": ""SUS302"",
      ""item_spec"": ""0.254*33"",
      ""arrival_qty"": ""912.5"",
      ""lot_code"": ""成品""
    },
    {
      ""po_no"": ""TT2205-2508280001"",
      ""item_code"": ""83-500745-1"",
      ""item_name"": ""SUS301"",
      ""item_spec"": ""0.3*23"",
      ""arrival_qty"": ""186"",
      ""lot_code"": ""成品""
    }
  ]
}","{
  ""receipt_type"": ""apmt520"",
  ""site_no"": """",
  ""sup_no"": """",
  ""doc_code"": ""P65"",
  ""doc_date"": ""2025-09-09"",
  ""is_po_off"": ""1"",
  ""detail"": []
}",图5.png: http://localhost:3001/api/v1/files/5b888f59-48a9-4570-bf3f-191a69744b8b
采购收货单,3,deepseek/deepseek-v3.2,temperature=1; max_tokens=10330; top_p=0.7; frequency_penalty=0; presence_penalty=0,OCR（将图片/PDF转文字）,Datalab（实验）,2026/1/16 09:27:57,14681,39,14720,失败,信息一致性:6.0 (1. 供应商名称 'sup_no' 的括号格式与期望输出不一致（使用了英文括号）；2. 最关键的错误在于 'arrival_qty' (到货数量) 的数值提取完全错误，期望输出为 135.5/912.5/186，而实际输出全部为 1，这属于关键业务信息提取错误；3. 满足 JSON 格式要求，且包含了期望输出中要求的所有 key。),天泽-冠菲,"{
  ""sup_no"": ""冠菲商贸（苏州）有限公司"",
  ""datas"": [
    {
      ""po_no"": ""TT2205-2504160001"",
      ""item_code"": ""83-200198-0"",
      ""item_name"": ""SUS302"",
      ""item_spec"": ""0.254*33"",
      ""arrival_qty"": ""135.5"",
      ""lot_code"": ""成品""
    },
    {
      ""po_no"": ""TT2205-2507310002"",
      ""item_code"": ""83-200198-0"",
      ""item_name"": ""SUS302"",
      ""item_spec"": ""0.254*33"",
      ""arrival_qty"": ""912.5"",
      ""lot_code"": ""成品""
    },
    {
      ""po_no"": ""TT2205-2508280001"",
      ""item_code"": ""83-500745-1"",
      ""item_name"": ""SUS301"",
      ""item_spec"": ""0.3*23"",
      ""arrival_qty"": ""186"",
      ""lot_code"": ""成品""
    }
  ]
}","```json
{
  ""receipt_type"": ""apmt520"",
  ""site_no"": """",
  ""sup_no"": ""冠菲商贸(苏州)有限公司"",
  ""doc_code"": ""P65"",
  ""doc_date"": ""2025-09-09"",
  ""is_po_off"": ""1"",
  ""details"": [
    {
      ""line_seq"": 1,
      ""po_no"": ""TT2205-2504160001"",
      ""po_seq"": """",
      ""item_code"": ""83-200198-0"",
      ""item_name"": ""SUS302"",
      ""item_spec"": ""0.254*33"",
      ""item_feture_code"": ""1/2H"",
      ""arrival_qty"": ""1"",
      ""receive_code"": """",
      ""lot_code"": ""成品"",
      ""lot_desc"": """",
      ""req_no"": """"
    },
    {
      ""line_seq"": 2,
      ""po_no"": ""TT2205-2507310002"",
      ""po_seq"": """",
      ""item_code"": ""83-200198-0"",
      ""item_name"": ""SUS302"",
      ""item_spec"": ""0.254*33"",
      ""item_feture_code"": ""1/2H"",
      ""arrival_qty"": ""1"",
      ""receive_code"": """",
      ""lot_code"": ""成品"",
      ""lot_desc"": """",
      ""req_no"": """"
    },
    {
      ""line_seq"": 3,
      ""po_no"": ""TT2205-2508280001"",
      ""po_seq"": """",
      ""item_code"": ""83-500745-1"",
      ""item_name"": ""SUS301"",
      ""item_spec"": ""0.3*23"",
      ""item_feture_code"": ""1/2H"",
      ""arrival_qty"": ""1"",
      ""receive_code"": """",
      ""lot_code"": ""成品"",
      ""lot_desc"": """",
      ""req_no"": """"
    }
  ]
}
```",图5.png: http://localhost:3001/api/v1/files/5b888f59-48a9-4570-bf3f-191a69744b8b
采购收货单,3,qwen/qwen3-vl-235b-a22b-thinking,temperature=1; max_tokens=10330; top_p=0.7; frequency_penalty=0; presence_penalty=0,OCR（将图片/PDF转文字）,Datalab（实验）,2026/1/16 09:33:58,0,0,0,未评分,,天泽-冠菲,"{
  ""sup_no"": ""冠菲商贸（苏州）有限公司"",
  ""datas"": [
    {
      ""po_no"": ""TT2205-2504160001"",
      ""item_code"": ""83-200198-0"",
      ""item_name"": ""SUS302"",
      ""item_spec"": ""0.254*33"",
      ""arrival_qty"": ""135.5"",
      ""lot_code"": ""成品""
    },
    {
      ""po_no"": ""TT2205-2507310002"",
      ""item_code"": ""83-200198-0"",
      ""item_name"": ""SUS302"",
      ""item_spec"": ""0.254*33"",
      ""arrival_qty"": ""912.5"",
      ""lot_code"": ""成品""
    },
    {
      ""po_no"": ""TT2205-2508280001"",
      ""item_code"": ""83-500745-1"",
      ""item_name"": ""SUS301"",
      ""item_spec"": ""0.3*23"",
      ""arrival_qty"": ""186"",
      ""lot_code"": ""成品""
    }
  ]
}",,图5.png: http://localhost:3001/api/v1/files/5b888f59-48a9-4570-bf3f-191a69744b8b
采购收货单,3,qwen/qwen3-vl-235b-a22b-thinking,temperature=1; max_tokens=10330; top_p=0.7; frequency_penalty=0; presence_penalty=0,OCR（将图片/PDF转文字）,MinerU,2026/1/16 09:33:59,77900,68,77968,失败,"信息一致性:1.0 (模型未能提取出任何实际业务数据。除了供应商名称(sup_no)为空外，datas列表中的所有关键业务信息（po_no, item_code, arrival_qty等）在实际输出的detail数组中全部缺失。虽然JSON格式正确，但作为信息提取任务，其核心内容提取率为0。)",天泽-冠菲,"{
  ""sup_no"": ""冠菲商贸（苏州）有限公司"",
  ""datas"": [
    {
      ""po_no"": ""TT2205-2504160001"",
      ""item_code"": ""83-200198-0"",
      ""item_name"": ""SUS302"",
      ""item_spec"": ""0.254*33"",
      ""arrival_qty"": ""135.5"",
      ""lot_code"": ""成品""
    },
    {
      ""po_no"": ""TT2205-2507310002"",
      ""item_code"": ""83-200198-0"",
      ""item_name"": ""SUS302"",
      ""item_spec"": ""0.254*33"",
      ""arrival_qty"": ""912.5"",
      ""lot_code"": ""成品""
    },
    {
      ""po_no"": ""TT2205-2508280001"",
      ""item_code"": ""83-500745-1"",
      ""item_name"": ""SUS301"",
      ""item_spec"": ""0.3*23"",
      ""arrival_qty"": ""186"",
      ""lot_code"": ""成品""
    }
  ]
}","{
  ""header"": {
    ""receipt_type"": ""apmt520"",
    ""site_no"": """",
    ""sup_no"": """",
    ""doc_code"": ""P65"",
    ""doc_date"": ""2025-09-09"",
    ""is_po_off"": ""1""
  },
  ""detail"": []
}",图5.png: http://localhost:3001/api/v1/files/5b888f59-48a9-4570-bf3f-191a69744b8b
